ID,UHG_DURATION,UHG_INTERVAL,UNIT,DRAINAGE_AREA,CONSTANT_BASE_FLOW,UHG_ORDINATE_NUM,UHG_1,UHG_2,UHG_3,UHG_4,UHG_5,UHG_6,UHG_7,UHG_8,UHG_9,UHG_10,UHG_11,UHG_12,UHG_13,UHG_14,UHG_15,UHG_16,UHG_17,UHG_18,UHG_19,UHG_20,UHG_21,UHG_22,UHG_23,UHG_24
UCHA2UPR,6,6,ENGLISH,550,0,24,2290,5308,8704,10700,8196,6142,4892,3518,2512,1846,1478,1040,822,704,526,370,222,128,46,6,0,0,0,0
UCHA2LWR,6,6,ENGLISH,384,0,24,2230,4750,6720,6075,4980,4277,3402,2456,1758,1388,1076,745,577,402,278,154,88,15,0,0,0,0,0,0
CHLA2UPR,6,6,ENGLISH,77,0,24,217,434,727,945,1086,1216,1107,890,651,434,282,152,87,33,11,4,0,0,0,0,0,0,0,0
CHLA2LWR,6,6,ENGLISH,298,0,24,992,2426,4025,5293,5789,4962,3694,2371,1323,662,331,83,0,0,0,0,0,0,0,0,0,0,0,0
CRHA2UPR,6,6,ENGLISH,54,0,24,100,438,836,1311,1022,750,516,318,206,119.8,70.2,41.3,24.8,12.4,0,0,0,0,0,0,0,0,0,0
CRHA2LWR,6,6,ENGLISH,352,0,24,942.1,3014.6,6540.7,8400.6,6805.9,4911.9,3132.6,1858.3,1008.8,557.5,278.8,132.7,26.5,0,0,0,0,0,0,0,0,0,0,0
MCDA2LOC,6,6,ENGLISH,116,0,24,1113,1647,1794,1941,1658,1375,1049,722,508,294,194,94,57,19,0,0,0,0,0,0,0,0,0,0
CHFA2LOC,6,6,ENGLISH,163,0,24,1364,2112,2360,2609,2167,1725,1344,963,764,565,449,333,258,184,136,88,58,28,17,5,3,0,0,0
SALA2UPR,6,6,ENGLISH,1491,0,24,1260,3569,6719,10079,13857,16797,19107,20577,18897,15642,12178,8819,6089,3780,2099,945,315,0,0,0,0,0,0,0
SALA2LWR,6,6,ENGLISH,724,0,24,2419,5913,9810,12900,14110,12094,9003,5778,3225,1613,806,202,0,0,0,0,0,0,0,0,0,0,0,0
GBDA2UPR,6,6,ENGLISH,383.9,0,24,1326.6,2961.8,5618.1,7848.1,6640.3,5465.9,4273.1,3098.8,1924.4,1038,543.7,271.8,138.6,98.8,49.5,0,0,0,0,0,0,0,0,0
GBDA2LWR,6,6,ENGLISH,293.1,0,24,2868,6207.7,7937.9,6156,4131.6,2070.8,1112.8,552.9,226.2,100.5,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KUPA2UPR,6,6,ENGLISH,871,0,19,3431,5573,14145,16170,13112,9910,7851,5707,4060,3146,2543,1773,1372,1253,1003,937,685,401,285,0,1,2,3,4
KUPA2LWR,6,6,ENGLISH,2383,0,19,10682,17078,39497,45100,36210,25980,20940,14873,10694,7343,5717,4076,3846,3397,2717,2435,1923,961,680,0,1,2,3,4
SGRA2UPR,6,6,ENGLISH,1172,0,16,4616,8219,19571,22678,17643,13333,10561,7682,5461,4241,3420,2384,1845,1684,1350,797,0,0,0,0,0,0,0,0
SGRA2LWR,6,6,ENGLISH,688,0,16,2710,4825,11489,13313,10357,7827,6200,4510,3206,2490,2008,1400,1083,989,792,468,0,0,0,0,0,0,0,0
CRUA2UPR,6,6,ENGLISH,2324,0,20,1500,3200,4900,6500,9153,16296,35000,41800,33900,25547,20800,14900,9995,7409,5780,3726,2660,2330,1880,1580,0,0,0,0
CRUA2MID,6,6,ENGLISH,9297,0,20,6043,12892,19741,26188,36877,65656,141013,168410,136582,102928,83802,60031,40269,29850,23287,15011,10717,9387,7574,6365,0,0,0,0
CRUA2LWR,6,6,ENGLISH,2051,0,14,2323,3823,5323,7735,10076,15379,31884,37884,30913,23542,19354,14147,9819,7537,0,0,0,0,0,0,0,0,0,0
WULA2LWR,6,6,ENGLISH,440,0,8,13417.9,16581.1,9040.8,4047.3,2102.5,1208.9,630.7,262.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WULA2UPR,6,6,ENGLISH,265,0,10,694.4,2414.6,9568.8,7765.4,3882.7,1971.7,1092,637,364,121.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLA2LWR,6,6,ENGLISH,4710,0,8,143731,177614.5,96843.4,43354.3,22521.8,12950,6756.4,2815.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLA2UPR,6,6,ENGLISH,1701,0,10,4455.8,15493.6,61400.3,49828,24914,12651.7,7007.1,4087.4,2335.7,778.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA2LWR,6,6,ENGLISH,2699,0,8,82371.6,101790.1,55500.5,24846.2,12907.2,7421.6,3872.1,1613.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA2UPR,6,6,ENGLISH,372,0,10,974.7,3389.2,13431.2,10899.8,5449.9,2767.5,1532.8,894.1,510.9,170.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLTA2GL,6,6,ENGLISH,541.5,0,12,1695,4556,8052,10595,9606,7805,6109,4238,2790,1483,918,459,0,0,0,0,0,0,0,0,0,0,0,0
CLTA2LWR,6,6,ENGLISH,1061.3,0,10,7960,16281,24603,21165,16643,11759,7236,4523,2714,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLTA2UPR,6,6,ENGLISH,967.2,0,12,3011,8128,14376,18904,17161,13923,10912,7539,4981,2671,1630,815,0,0,0,0,0,0,0,0,0,0,0,0
GCSA2LWR,6,6,ENGLISH,1231,0,23,1970,4600,6910,11560,16090,18080,16780,13070,9830,7560,5920,4610,3620,2870,2320,1760,1360,1020,810,530,400,310,215,0
GCSA2UPR,6,6,ENGLISH,361,0,22,280,590,1280,1350,3250,4645,5540,4980,3820,2890,2420,2070,1560,1050,835,650,510,395,325,280,220,90,0,0
KNKA2LWR,6,6,ENGLISH,318.2,0,4,6183.18,16491.35,8249.78,3300.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNKA2UPR,6,6,ENGLISH,413,0,7,1104.77,4711.89,11046.33,12981.86,9814.64,3920.08,840.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNKA2GL,6,6,ENGLISH,488,0,8,3316.89,9463.61,11146.64,10634.41,7853.76,5585.33,3281.77,1176.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSHA2LWR,6,6,ENGLISH,87.3,0,5,3586,3244,1707,689,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSHA2UPR,6,6,ENGLISH,18.8,0,5,106,600,706,459,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSUA2GL,6,6,ENGLISH,3,0,2,278,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSUA2LWR,6,6,ENGLISH,16,0,3,1095,459,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSUA2UPR,6,6,ENGLISH,42.9,0,4,3447,1002,151,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACA2LG,6,6,ENGLISH,28.7,0,6,312,1158,980,468,125,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACA2LWR,6,6,ENGLISH,117.4,0,7,1870,4898,3562,1781,356,89,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACA2UG,6,6,ENGLISH,24.8,0,7,45,89,1291,690,321,134,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACA2UPR,6,6,ENGLISH,108.9,0,7,1190,2630,5180,1950,510,170,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATA2LG,6,6,ENGLISH,75,0,4,840,3822,2520,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATA2LWR,6,6,ENGLISH,495,0,4,10544,20225,16632,5821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATA2UG,6,6,ENGLISH,357,0,4,4000,18200,12000,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATA2UPR,6,6,ENGLISH,1219,0,4,13640,62062,40920,14322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONA2LWR,6,6,ENGLISH,141.4,0,4,9759,4125,1118,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONA2UPR,6,6,ENGLISH,26.6,0,5,283,1380,769,328,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKWA2LG,6,6,ENGLISH,67,0,12,107,389,711,1035,1078,1024,883,734,561,389,206,87,0,0,0,0,0,0,0,0,0,0,0,0
SKWA2LWR,6,6,ENGLISH,1268,0,11,9058,18840,27899,26088,19927,13587,9058,5797,3623,1812,724,0,0,0,0,0,0,0,0,0,0,0,0,0
SKWA2UG,6,6,ENGLISH,193,0,12,309,1121,2049,2983,3105,2951,2545,2113,1617,1121,593,251,0,0,0,0,0,0,0,0,0,0,0,0
SKWA2UPR,6,6,ENGLISH,798,0,12,1279,4635,8470,12333,12839,12199,10521,8737,6686,4635,2451,1039,0,0,0,0,0,0,0,0,0,0,0,0
SUCA2LWR,6,6,ENGLISH,1379,0,17,2147,5011,8948,14316,19685,21474,20579,17000,12527,8948,6800,4653,2684,1790,1074,537,179,0,0,0,0,0,0,0
SUCA2UPR,6,6,ENGLISH,1531,0,17,1448,3920,8935,16104,23273,25038,22354,17905,14303,10736,7522,5368,3743,2154,1059,530,177,0,0,0,0,0,0,0
SUDA2LG,6,6,ENGLISH,164.4,0,10,671,1748,3090,3496,3196,2596,1536,777,406,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUDA2LWR,6,6,ENGLISH,373.3,0,8,4872,10106,10828,7579,4151,1732,722,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUDA2UG,6,6,ENGLISH,164.3,0,10,671,1748,3090,3496,3196,2595,1536,777,406,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUDA2UPR,6,6,ENGLISH,248,0,10,1002,2641,4660,5267,4811,3916,2322,1169,622,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNA2LOC,6,6,ENGLISH,374,0,6,7656,12760,9570,6380,3190,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRTA2GL,6,6,ENGLISH,130,0,11,0,1554,2825,3072,2225,1660,1165,742,388,212,71,0,0,0,0,0,0,0,0,0,0,0,0,0
TRTA2LWR,6,6,ENGLISH,768,0,9,13233,20197,17759,13058,8706,5223,2786,1393,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRTA2UPR,6,6,ENGLISH,1098,0,11,4167,13073,23809,22178,18693,14020,9978,6221,3410,1863,632,0,0,0,0,0,0,0,0,0,0,0,0,0
WILA2LOC,6,6,ENGLISH,140.7,0,5,8325,4377,1807,434,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLWA2LWR,6,6,ENGLISH,94.1,0,5,6120,2603,1043,258,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLWA2UPR,6,6,ENGLISH,77.6,0,7,4163,2131,1025,574,327,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLKA2LG,6,6,ENGLISH,158,0,12,345,753,1330,1913,2490,2547,2258,1913,1505,1070,639,232,0,0,0,0,0,0,0,0,0,0,0,0
YLKA2LWR,6,6,ENGLISH,1324,0,12,8198,19470,29718,29718,21178,14005,9223,5807,3416,1537,171,0,0,0,0,0,0,0,0,0,0,0,0,0
YLKA2UG,6,6,ENGLISH,352,0,11,769,1677,2963,4261,5547,5673,5030,4261,3354,2383,1425,517,0,0,0,0,0,0,0,0,0,0,0,0
YLKA2UPR,6,6,ENGLISH,476,0,12,1040,2267,4006,5762,7501,7672,6802,5762,4535,3222,1926,699,0,0,0,0,0,0,0,0,0,0,0,0
YSSA2LG,6,6,ENGLISH,59,0,12,0,144,431,718,1035,1066,922,748,548,374,244,113,0,0,0,0,0,0,0,0,0,0,0,0
YSSA2LWR,6,6,ENGLISH,1065,0,11,7012,15193,22204,22204,16127,11219,7947,5610,3973,2337,701,0,0,0,0,0,0,0,0,0,0,0,0,0
YSSA2UG,6,6,ENGLISH,213,0,12,0,518,1555,2591,3737,3847,3329,2701,1979,1351,879,408,0,0,0,0,0,0,0,0,0,0,0,0
YSSA2UPR,6,6,ENGLISH,207,0,12,0,504,1511,2518,3632,3739,3235,2625,1923,1312,855,397,0,0,0,0,0,0,0,0,0,0,0,0
ANKA2LWR,6,6,ENGLISH,2503,0,12,9810,22280,32430,41520,43220,39830,30110,21970,14040,7690,4520,1770,0,0,0,0,0,0,0,0,0,0,0,0
ANKA2UPR,6,6,ENGLISH,1905,0,13,2570,9070,20570,28910,32410,31410,25410,20070,14740,9400,5400,3230,1730,0,0,0,0,0,0,0,0,0,0,0
CJXA2GL,6,6,ENGLISH,143,0,14,0,0,400,1200,2100,2750,2600,2100,1600,1100,720,480,240,90,0,0,0,0,0,0,0,0,0,0
CJXA2LWR,6,6,ENGLISH,8846,0,14,51350,87290,112970,128370,133510,123240,102700,77020,56480,36970,22590,12320,5130,2050,0,0,0,0,0,0,0,0,0,0
CJXA2UPR,6,6,ENGLISH,6465,0,18,0,4500,11920,26830,45700,61600,74520,83460,87430,81470,70540,55640,39740,24840,14900,7950,3970,990,0,0,0,0,0,0
KLCA2LWR,6,6,ENGLISH,3050,0,12,6820,15870,29570,41460,51020,52570,48180,37320,25040,12770,5540,1850,0,0,0,0,0,0,0,0,0,0,0,0
KLCA2UPR,6,6,ENGLISH,1028,0,13,290,2490,6980,12970,17950,18950,15960,12470,9480,6480,3990,1990,600,0,0,0,0,0,0,0,0,0,0,0
MCGA2GL,6,6,ENGLISH,234,0,15,0,0,350,800,1900,3500,4220,4060,3400,2600,1800,1200,800,400,150,0,0,0,0,0,0,0,0,0
MCGA2LWR,6,6,ENGLISH,6753,0,17,14090,26950,46500,66040,80450,85080,83280,77310,68100,54210,41870,29010,21550,14090,9970,6630,3290,0,0,0,0,0,0,0
MCGA2UPR,6,6,ENGLISH,4578,0,19,0,2780,5430,11310,20640,37540,52900,62590,60920,55240,49560,42000,32390,23810,14730,10650,6240,2850,810,0,0,0,0,0
BRINGL,6,6,ENGLISH,19.3,0,2,2069,0,,,,,,,,,,,,,,,,,,,,,,
BRINNG,6,6,ENGLISH,52,0,2,5600,0,,,,,,,,,,,,,,,,,,,,,,
BRUA2GL,6,6,ENGLISH,9,0,2,860,104,,,,,,,,,,,,,,,,,,,,,,
BRUA2NG,6,6,ENGLISH,3,0,2,308,13,,,,,,,,,,,,,,,,,,,,,,
